id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count
1115337567581302784,2019-04-08 19:36:12,"Yes. I predict #algorithmovigilance, the monitoring of computable algorithms for their expected/ unexpected health/… https://t.co/wCrFxwNRx7",Peter Embí,embimd,642,1455,0,0
1115337559649943552,2019-04-08 19:36:10,"RT @Ronald_vanLoon: World's fastest supercomputer
by @nowthisnews |

#MachineLearning #ML #NeuralNetworks #DeepLearning #DL #DataScience #A…",Icepack,Icepack_co,741,705,48,0
1115337425742704643,2019-04-08 19:35:38,"RT @DD_FaFa_: Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow https://t.co/83EwYTDPlI…",Omar,Omar38703540,239,91,3,0
1115337299091435520,2019-04-08 19:35:08,How UI testing is getting faster and smarter with Machine learning? https://t.co/Wh1FZ97Ou8 #UI #unittesting… https://t.co/gnGpffg4Wl,Olivia Smith,OliviaS97037757,2437,1169,0,0
1115337290077933568,2019-04-08 19:35:06,"PrometheanAI automatically generates game scenes, like a bedroom, for human artists: PrometheanAI uses AI to help h… https://t.co/rcXZeVLHEG",Democratize_AI,Democratize_AI,104,133,0,0
1115337213338738689,2019-04-08 19:34:48,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow… https://t.co/dJeJ2a6jEq",fafa.👩🏻‍💻,DD_FaFa_,16548,26058,3,2
1115337121806598146,2019-04-08 19:34:26,"RT @StephaneNappo: #MegaTrends #Hyperconvergence

World's fastest supercomputer.

📌by @nowthisnews |

#MachineLearning #ML #NeuralNetworks…",Altan Çakır,altan_cakir,294,190,12,0
1115337013052493824,2019-04-08 19:34:00,"RT @BendrisFouad: The Kick-ass #Fintech Glossary  ! 
via @ravikikan &gt; #MachineLearning #Infographics #startups #tech #DataScience #Internet…",Pascal Marion,Marion_Pasc,29,12,2,0
1115336916059271173,2019-04-08 19:33:37,Interested in applying #ML techniques to actual clinical dementia data to help determine if risk and MCI-AD convers… https://t.co/faRtmwX6Ln,Matt Hobbs 🏳️‍🌈,cantab_Matt,552,222,1,1
1115336561237942272,2019-04-08 19:32:12,RT @schmarzo: Absolutely a must-read for any business executive or student who needs a solid foundation before jumping into the worlds of #…,Jason Abdi,jason_abdi,82,177,6,0
1115336494267293697,2019-04-08 19:31:56,RT @IsabellajonesCl: Step by step #SEO for an international #Website #socialmedia #socialmediamarketing #digitalmarketing #contentmarketing…,wolfliang,wolfliang2,696,62,53,0
1115336468979781632,2019-04-08 19:31:50,"RT @Ceo_Branding: The intersection of #AI and #Robotics !

Via @evankirstel @4orgexcellence 

#4org #tech #martech #ArtificialIntelligence…",wolfliang,wolfliang2,696,62,49,0
1115336466308194307,2019-04-08 19:31:50,"AI “adversarial attacks” can trick self-driving cars, medicine, and the military - Vox https://t.co/lgXU7mhdeK #ai #ml #dl",AI News Feed,AINewsFeed,4171,5687,0,0
1115336370506088451,2019-04-08 19:31:27,Useful guidelines for trustworthy #ML #ethics #ACRDSI https://t.co/f9g3RgRb0t,Raym Geis,quantrad,1084,941,0,0
1115336305116946432,2019-04-08 19:31:11,"RT @StephaneNappo: #MegaTrends #Hyperconvergence

World's fastest supercomputer.

📌by @nowthisnews |

#MachineLearning #ML #NeuralNetworks…",maanei-media 💡🎙️,maaneimedia,1742,758,12,0
